Year_Month,Card_type,Line,Trip
Oct-16,School Student,F5 Neutral Bay,28
Oct-16,Senior/Pensioner,F5 Neutral Bay,9435
Oct-16,Sgl Trip Ferry Adult,F5 Neutral Bay,989
Oct-16,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,191
Oct-16,Adult,F6 Mosman Bay,51780
Oct-16,Child/Youth,F6 Mosman Bay,3142
Oct-16,Concession,F6 Mosman Bay,1770
Oct-16,Employee,F6 Mosman Bay,360
Oct-16,Free Travel,F6 Mosman Bay,111
Oct-16,School Student,F6 Mosman Bay,52
Oct-16,Senior/Pensioner,F6 Mosman Bay,13387
Oct-16,Sgl Trip Ferry Adult,F6 Mosman Bay,1107
Oct-16,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,217
Oct-16,Adult,F7 Eastern Suburbs,98879
Oct-16,Child/Youth,F7 Eastern Suburbs,7358
Oct-16,Concession,F7 Eastern Suburbs,1863
Oct-16,Employee,F7 Eastern Suburbs,435
Oct-16,Free Travel,F7 Eastern Suburbs,169
Oct-16,School Student,F7 Eastern Suburbs,73
Oct-16,Senior/Pensioner,F7 Eastern Suburbs,16306
Oct-16,Sgl Trip Ferry Adult,F7 Eastern Suburbs,3585
Oct-16,Sgl Trip Ferry Child/Youth,F7 Eastern Suburbs,567
Nov-16,Adult,118F Newcastle,23178
Nov-16,Child/Youth,118F Newcastle,3069
Nov-16,Concession,118F Newcastle,1127
Nov-16,Employee,118F Newcastle,582
Nov-16,Free Travel,118F Newcastle,287
Nov-16,School Student,118F Newcastle,706
Nov-16,Senior/Pensioner,118F Newcastle,10029
Nov-16,Adult,F1 Manly,313364
Nov-16,Child/Youth,F1 Manly,23931
Nov-16,Concession,F1 Manly,10598
Nov-16,Employee,F1 Manly,1976
Nov-16,Free Travel,F1 Manly,756
Nov-16,School Student,F1 Manly,367
Nov-16,Senior/Pensioner,F1 Manly,65368
Nov-16,Sgl Trip Ferry Adult,F1 Manly,30591
Nov-16,Sgl Trip Ferry Child/Youth,F1 Manly,2419
Nov-16,Adult,F2 Taronga Zoo,73207
Nov-16,Child/Youth,F2 Taronga Zoo,10678
Nov-16,Concession,F2 Taronga Zoo,2071
Nov-16,Employee,F2 Taronga Zoo,349
Nov-16,Free Travel,F2 Taronga Zoo,137
Nov-16,School Student,F2 Taronga Zoo,32
