Year_Month,Card_type,Line,Trip
Jan-21,Concession,F4 Pyrmont Bay,2207
Jan-21,Day Pass without SAF,F4 Pyrmont Bay,1
Jan-21,Employee,F4 Pyrmont Bay,629
Jan-21,Free Travel,F4 Pyrmont Bay,151
Jan-21,School Student,F4 Pyrmont Bay,187
Jan-21,Senior/Pensioner,F4 Pyrmont Bay,15590
Jan-21,Sgl Trip Ferry Adult,F4 Pyrmont Bay,1035
Jan-21,Sgl Trip Ferry Child/Youth,F4 Pyrmont Bay,1183
Jan-21,Adult,F5 Neutral Bay,8732
Jan-21,CTP,F5 Neutral Bay,5623
Jan-21,Child/Youth,F5 Neutral Bay,1318
Jan-21,Concession,F5 Neutral Bay,790
Jan-21,Day Pass without SAF,F5 Neutral Bay,1
Jan-21,Employee,F5 Neutral Bay,80
Jan-21,Free Travel,F5 Neutral Bay,23
Jan-21,School Student,F5 Neutral Bay,13
Jan-21,Senior/Pensioner,F5 Neutral Bay,4908
Jan-21,Sgl Trip Ferry Adult,F5 Neutral Bay,94
Jan-21,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,106
Jan-21,Adult,F6 Mosman Bay,12559
Jan-21,CTP,F6 Mosman Bay,7789
Jan-21,Child/Youth,F6 Mosman Bay,2145
Jan-21,Concession,F6 Mosman Bay,815
Jan-21,Employee,F6 Mosman Bay,133
Jan-21,Free Travel,F6 Mosman Bay,63
Jan-21,School Student,F6 Mosman Bay,51
Jan-21,Senior/Pensioner,F6 Mosman Bay,6651
Jan-21,Sgl Trip Ferry Adult,F6 Mosman Bay,191
Jan-21,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,208
Jan-21,Adult,F7 Double Bay,3225
Jan-21,CTP,F7 Double Bay,3367
Jan-21,Child/Youth,F7 Double Bay,357
Jan-21,Concession,F7 Double Bay,116
Jan-21,Employee,F7 Double Bay,15
Jan-21,Free Travel,F7 Double Bay,11
Jan-21,School Student,F7 Double Bay,1
Jan-21,Senior/Pensioner,F7 Double Bay,1622
Jan-21,Sgl Trip Ferry Adult,F7 Double Bay,48
Jan-21,Sgl Trip Ferry Child/Youth,F7 Double Bay,42
Jan-21,Adult,F8 Cockatoo Island,10539
Jan-21,CTP,F8 Cockatoo Island,6464
Jan-21,Child/Youth,F8 Cockatoo Island,2903
Jan-21,Concession,F8 Cockatoo Island,625
Jan-21,Employee,F8 Cockatoo Island,133
Jan-21,Free Travel,F8 Cockatoo Island,24
Jan-21,School Student,F8 Cockatoo Island,54
Jan-21,Senior/Pensioner,F8 Cockatoo Island,4489
Jan-21,Sgl Trip Ferry Adult,F8 Cockatoo Island,155
Jan-21,Sgl Trip Ferry Child/Youth,F8 Cockatoo Island,186
Jan-21,Adult,F9 Watsons Bay,24492
Jan-21,CTP,F9 Watsons Bay,18943
Jan-21,Child/Youth,F9 Watsons Bay,5606
Jan-21,Concession,F9 Watsons Bay,1572
Jan-21,Day Pass without SAF,F9 Watsons Bay,2
Jan-21,Employee,F9 Watsons Bay,299
Jan-21,Free Travel,F9 Watsons Bay,80
Jan-21,School Student,F9 Watsons Bay,24
Jan-21,Senior/Pensioner,F9 Watsons Bay,9518
Jan-21,Sgl Trip Ferry Adult,F9 Watsons Bay,453
Jan-21,Sgl Trip Ferry Child/Youth,F9 Watsons Bay,472
Feb-21,Adult,118F Newcastle,10982
Feb-21,CTP,118F Newcastle,9310
Feb-21,Child/Youth,118F Newcastle,1602
Feb-21,Concession,118F Newcastle,837
Feb-21,Day Pass without SAF,118F Newcastle,3
Feb-21,Employee,118F Newcastle,299
Feb-21,Free Travel,118F Newcastle,410
Feb-21,School Student,118F Newcastle,1686
Feb-21,Senior/Pensioner,118F Newcastle,9225
Feb-21,Adult,F1 Manly,47920
Feb-21,CTP,F1 Manly,29162
Feb-21,Child/Youth,F1 Manly,6490
Feb-21,Concession,F1 Manly,3980
Feb-21,Day Pass without SAF,F1 Manly,2
Feb-21,Employee,F1 Manly,839
Feb-21,Free Travel,F1 Manly,353
Feb-21,School Student,F1 Manly,804
Feb-21,Senior/Pensioner,F1 Manly,32277
Feb-21,Sgl Trip Ferry Adult,F1 Manly,1185
Feb-21,Sgl Trip Ferry Child/Youth,F1 Manly,628
Feb-21,Adult,F2 Taronga Zoo,13496
Feb-21,CTP,F2 Taronga Zoo,8831
Feb-21,Child/Youth,F2 Taronga Zoo,2376
Feb-21,Concession,F2 Taronga Zoo,1211
Feb-21,Employee,F2 Taronga Zoo,125
Feb-21,Free Travel,F2 Taronga Zoo,99
Feb-21,School Student,F2 Taronga Zoo,508
Feb-21,Senior/Pensioner,F2 Taronga Zoo,6223
Feb-21,Sgl Trip Ferry Adult,F2 Taronga Zoo,443
Feb-21,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,277
Feb-21,Adult,F3 Parramatta River,51126
Feb-21,CTP,F3 Parramatta River,30489
Feb-21,Child/Youth,F3 Parramatta River,5109
Feb-21,Concession,F3 Parramatta River,2921
Feb-21,Day Pass without SAF,F3 Parramatta River,1
Feb-21,Employee,F3 Parramatta River,791
Feb-21,Free Travel,F3 Parramatta River,209
Feb-21,School Student,F3 Parramatta River,3127
Feb-21,Senior/Pensioner,F3 Parramatta River,20875
Feb-21,Sgl Trip Ferry Adult,F3 Parramatta River,887
Feb-21,Sgl Trip Ferry Child/Youth,F3 Parramatta River,446
Feb-21,Adult,F4 Pyrmont Bay,28069
Feb-21,CTP,F4 Pyrmont Bay,20595
Feb-21,Child/Youth,F4 Pyrmont Bay,4462
Feb-21,Concession,F4 Pyrmont Bay,1793
Feb-21,Employee,F4 Pyrmont Bay,622
Feb-21,Free Travel,F4 Pyrmont Bay,152
Feb-21,School Student,F4 Pyrmont Bay,1729
Feb-21,Senior/Pensioner,F4 Pyrmont Bay,16017
Feb-21,Sgl Trip Ferry Adult,F4 Pyrmont Bay,781
Feb-21,Sgl Trip Ferry Child/Youth,F4 Pyrmont Bay,414
Feb-21,Adult,F5 Neutral Bay,10204
Feb-21,CTP,F5 Neutral Bay,6990
Feb-21,Child/Youth,F5 Neutral Bay,592
Feb-21,Concession,F5 Neutral Bay,821
Feb-21,Employee,F5 Neutral Bay,137
Feb-21,Free Travel,F5 Neutral Bay,29
Feb-21,School Student,F5 Neutral Bay,309
Feb-21,Senior/Pensioner,F5 Neutral Bay,5909
Feb-21,Sgl Trip Ferry Adult,F5 Neutral Bay,121
Feb-21,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,58
Feb-21,Adult,F6 Mosman Bay,15314
Feb-21,CTP,F6 Mosman Bay,9847
Feb-21,Child/Youth,F6 Mosman Bay,763
Feb-21,Concession,F6 Mosman Bay,1215
Feb-21,Employee,F6 Mosman Bay,179
Feb-21,Free Travel,F6 Mosman Bay,93
Feb-21,School Student,F6 Mosman Bay,400
Feb-21,Senior/Pensioner,F6 Mosman Bay,8009
Feb-21,Sgl Trip Ferry Adult,F6 Mosman Bay,225
Feb-21,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,114
Feb-21,Adult,F7 Double Bay,4003
Feb-21,CTP,F7 Double Bay,4226
Feb-21,Child/Youth,F7 Double Bay,207
Feb-21,Concession,F7 Double Bay,186
Feb-21,Employee,F7 Double Bay,23
Feb-21,Free Travel,F7 Double Bay,4
Feb-21,School Student,F7 Double Bay,11
Feb-21,Senior/Pensioner,F7 Double Bay,2145
Feb-21,Sgl Trip Ferry Adult,F7 Double Bay,51
Feb-21,Sgl Trip Ferry Child/Youth,F7 Double Bay,18
Feb-21,Adult,F8 Cockatoo Island,12009
Feb-21,CTP,F8 Cockatoo Island,7801
Feb-21,Child/Youth,F8 Cockatoo Island,1828
Feb-21,Concession,F8 Cockatoo Island,663
Feb-21,Employee,F8 Cockatoo Island,181
Feb-21,Free Travel,F8 Cockatoo Island,31
Feb-21,School Student,F8 Cockatoo Island,893
Feb-21,Senior/Pensioner,F8 Cockatoo Island,5823
Feb-21,Sgl Trip Ferry Adult,F8 Cockatoo Island,192
Feb-21,Sgl Trip Ferry Child/Youth,F8 Cockatoo Island,81
Feb-21,Adult,F9 Watsons Bay,24887
Feb-21,CTP,F9 Watsons Bay,21714
Feb-21,Child/Youth,F9 Watsons Bay,1957
Feb-21,Concession,F9 Watsons Bay,1888
Feb-21,Employee,F9 Watsons Bay,283
Feb-21,Free Travel,F9 Watsons Bay,64
Feb-21,School Student,F9 Watsons Bay,406
Feb-21,Senior/Pensioner,F9 Watsons Bay,11532
Feb-21,Sgl Trip Ferry Adult,F9 Watsons Bay,461
Feb-21,Sgl Trip Ferry Child/Youth,F9 Watsons Bay,165
Mar-21,Adult,118F Newcastle,11110
Mar-21,CTP,118F Newcastle,9900
Mar-21,Child/Youth,118F Newcastle,1444
Mar-21,Concession,118F Newcastle,1051
Mar-21,Employee,118F Newcastle,418
Mar-21,Free Travel,118F Newcastle,377
Mar-21,School Student,118F Newcastle,1407
Mar-21,Senior/Pensioner,118F Newcastle,8941
Mar-21,Adult,F1 Manly,53140
Mar-21,CTP,F1 Manly,32862
Mar-21,Child/Youth,F1 Manly,8092
Mar-21,Concession,F1 Manly,4568
Mar-21,Day Pass without SAF,F1 Manly,10
Mar-21,Employee,F1 Manly,992
Mar-21,Free Travel,F1 Manly,386
Mar-21,School Student,F1 Manly,924
Mar-21,Senior/Pensioner,F1 Manly,38085
Mar-21,Sgl Trip Ferry Adult,F1 Manly,1897
Mar-21,Sgl Trip Ferry Child/Youth,F1 Manly,814
Mar-21,Adult,F2 Taronga Zoo,15924
Mar-21,CTP,F2 Taronga Zoo,10650
Mar-21,Child/Youth,F2 Taronga Zoo,3798
Mar-21,Concession,F2 Taronga Zoo,1484
Mar-21,Employee,F2 Taronga Zoo,168
Mar-21,Free Travel,F2 Taronga Zoo,79
Mar-21,School Student,F2 Taronga Zoo,655
Mar-21,Senior/Pensioner,F2 Taronga Zoo,7892
Mar-21,Sgl Trip Ferry Adult,F2 Taronga Zoo,750
Mar-21,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,406
Mar-21,Adult,F3 Parramatta River,53778
Mar-21,CTP,F3 Parramatta River,31621
Mar-21,Child/Youth,F3 Parramatta River,5421
Mar-21,Concession,F3 Parramatta River,2708
Mar-21,Day Pass without SAF,F3 Parramatta River,4
Mar-21,Employee,F3 Parramatta River,661
Mar-21,Free Travel,F3 Parramatta River,184
Mar-21,School Student,F3 Parramatta River,3331
Mar-21,Senior/Pensioner,F3 Parramatta River,21338
Mar-21,Sgl Trip Ferry Adult,F3 Parramatta River,789
Mar-21,Sgl Trip Ferry Child/Youth,F3 Parramatta River,420
Mar-21,Adult,F4 Pyrmont Bay,31871
Mar-21,CTP,F4 Pyrmont Bay,24697
Mar-21,Child/Youth,F4 Pyrmont Bay,5977
Mar-21,Concession,F4 Pyrmont Bay,1780
Mar-21,Employee,F4 Pyrmont Bay,960
Mar-21,Free Travel,F4 Pyrmont Bay,173
Mar-21,School Student,F4 Pyrmont Bay,1943
Mar-21,Senior/Pensioner,F4 Pyrmont Bay,18920
Mar-21,Sgl Trip Ferry Adult,F4 Pyrmont Bay,1422
Mar-21,Sgl Trip Ferry Child/Youth,F4 Pyrmont Bay,761
Mar-21,Adult,F5 Neutral Bay,11013
Mar-21,CTP,F5 Neutral Bay,7881
Mar-21,Child/Youth,F5 Neutral Bay,609
Mar-21,Concession,F5 Neutral Bay,980
Mar-21,Day Pass without SAF,F5 Neutral Bay,1
Mar-21,Employee,F5 Neutral Bay,139
Mar-21,Free Travel,F5 Neutral Bay,46
Mar-21,School Student,F5 Neutral Bay,346
Mar-21,Senior/Pensioner,F5 Neutral Bay,6598
Mar-21,Sgl Trip Ferry Adult,F5 Neutral Bay,181
Mar-21,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,71
Mar-21,Adult,F6 Mosman Bay,17386
Mar-21,CTP,F6 Mosman Bay,10706
Mar-21,Child/Youth,F6 Mosman Bay,834
Mar-21,Concession,F6 Mosman Bay,1404
Mar-21,Employee,F6 Mosman Bay,160
Mar-21,Free Travel,F6 Mosman Bay,94
Mar-21,School Student,F6 Mosman Bay,433
Mar-21,Senior/Pensioner,F6 Mosman Bay,9702
Mar-21,Sgl Trip Ferry Adult,F6 Mosman Bay,308
Mar-21,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,135
Mar-21,Adult,F7 Double Bay,4051
Mar-21,CTP,F7 Double Bay,4504
Mar-21,Child/Youth,F7 Double Bay,173
Mar-21,Concession,F7 Double Bay,226
Mar-21,Employee,F7 Double Bay,24
Mar-21,Free Travel,F7 Double Bay,7
Mar-21,School Student,F7 Double Bay,14
Mar-21,Senior/Pensioner,F7 Double Bay,2204
Mar-21,Sgl Trip Ferry Adult,F7 Double Bay,74
Mar-21,Sgl Trip Ferry Child/Youth,F7 Double Bay,31
Mar-21,Adult,F8 Cockatoo Island,13485
Mar-21,CTP,F8 Cockatoo Island,8744
Mar-21,Child/Youth,F8 Cockatoo Island,3036
Mar-21,Concession,F8 Cockatoo Island,691
Mar-21,Employee,F8 Cockatoo Island,166
Mar-21,Free Travel,F8 Cockatoo Island,59
Mar-21,School Student,F8 Cockatoo Island,1012
Mar-21,Senior/Pensioner,F8 Cockatoo Island,6762
Mar-21,Sgl Trip Ferry Adult,F8 Cockatoo Island,227
Mar-21,Sgl Trip Ferry Child/Youth,F8 Cockatoo Island,126
Mar-21,Adult,F9 Watsons Bay,25928
Mar-21,CTP,F9 Watsons Bay,24294
Mar-21,Child/Youth,F9 Watsons Bay,1681
Mar-21,Concession,F9 Watsons Bay,1950
Mar-21,Day Pass without SAF,F9 Watsons Bay,1
Mar-21,Employee,F9 Watsons Bay,303
Mar-21,Free Travel,F9 Watsons Bay,87
Mar-21,School Student,F9 Watsons Bay,426
Mar-21,Senior/Pensioner,F9 Watsons Bay,12817
Mar-21,Sgl Trip Ferry Adult,F9 Watsons Bay,600
Mar-21,Sgl Trip Ferry Child/Youth,F9 Watsons Bay,250
Apr-21,Adult,118F Newcastle,13587
Apr-21,CTP,118F Newcastle,13109
Apr-21,Child/Youth,118F Newcastle,4176
Apr-21,Concession,118F Newcastle,847
Apr-21,Employee,118F Newcastle,463
Apr-21,Free Travel,118F Newcastle,434
Apr-21,School Student,118F Newcastle,576
Apr-21,Senior/Pensioner,118F Newcastle,10717
Apr-21,Adult,F1 Manly,80591
Apr-21,CTP,F1 Manly,55638
Apr-21,Child/Youth,F1 Manly,26471
Apr-21,Concession,F1 Manly,4713
Apr-21,Day Pass without SAF,F1 Manly,5
Apr-21,Employee,F1 Manly,1177
Apr-21,Free Travel,F1 Manly,599
Apr-21,School Student,F1 Manly,363
Apr-21,Senior/Pensioner,F1 Manly,50533
Apr-21,Sgl Trip Ferry Adult,F1 Manly,5321
Apr-21,Sgl Trip Ferry Child/Youth,F1 Manly,4355
Apr-21,Adult,F2 Taronga Zoo,35832
Apr-21,CTP,F2 Taronga Zoo,22966
Apr-21,Child/Youth,F2 Taronga Zoo,16278
Apr-21,Concession,F2 Taronga Zoo,1963
Apr-21,Day Pass without SAF,F2 Taronga Zoo,2
Apr-21,Employee,F2 Taronga Zoo,330
Apr-21,Free Travel,F2 Taronga Zoo,130
Apr-21,School Student,F2 Taronga Zoo,304
Apr-21,Senior/Pensioner,F2 Taronga Zoo,12964
Apr-21,Sgl Trip Ferry Adult,F2 Taronga Zoo,3148
Apr-21,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,2766
Apr-21,Adult,F3 Parramatta River,68153
Apr-21,CTP,F3 Parramatta River,42442
Apr-21,Child/Youth,F3 Parramatta River,15717
Apr-21,Concession,F3 Parramatta River,2952
Apr-21,Day Pass without SAF,F3 Parramatta River,2
Apr-21,Employee,F3 Parramatta River,1024
Apr-21,Free Travel,F3 Parramatta River,253
Apr-21,School Student,F3 Parramatta River,1469
Apr-21,Senior/Pensioner,F3 Parramatta River,29920
Apr-21,Sgl Trip Ferry Adult,F3 Parramatta River,2756
Apr-21,Sgl Trip Ferry Child/Youth,F3 Parramatta River,2153
Apr-21,Adult,F4 Pyrmont Bay,52134
Apr-21,CTP,F4 Pyrmont Bay,40866
Apr-21,Child/Youth,F4 Pyrmont Bay,17057
Apr-21,Concession,F4 Pyrmont Bay,2355
Apr-21,Day Pass without SAF,F4 Pyrmont Bay,2
Apr-21,Employee,F4 Pyrmont Bay,1025
Apr-21,Free Travel,F4 Pyrmont Bay,258
Apr-21,School Student,F4 Pyrmont Bay,967
Apr-21,Senior/Pensioner,F4 Pyrmont Bay,27333
Apr-21,Sgl Trip Ferry Adult,F4 Pyrmont Bay,4188
Apr-21,Sgl Trip Ferry Child/Youth,F4 Pyrmont Bay,3300
Apr-21,Adult,F5 Neutral Bay,12433
Apr-21,CTP,F5 Neutral Bay,9324
Apr-21,Child/Youth,F5 Neutral Bay,1716
Apr-21,Concession,F5 Neutral Bay,751
Apr-21,Day Pass without SAF,F5 Neutral Bay,2
Apr-21,Employee,F5 Neutral Bay,125
Apr-21,Free Travel,F5 Neutral Bay,43
Apr-21,School Student,F5 Neutral Bay,136
Apr-21,Senior/Pensioner,F5 Neutral Bay,7585
Apr-21,Sgl Trip Ferry Adult,F5 Neutral Bay,375
Apr-21,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,316
Apr-21,Adult,F6 Mosman Bay,19327
Apr-21,CTP,F6 Mosman Bay,12493
Apr-21,Child/Youth,F6 Mosman Bay,2533
Apr-21,Concession,F6 Mosman Bay,1185
Apr-21,Employee,F6 Mosman Bay,202
Apr-21,Free Travel,F6 Mosman Bay,82
Apr-21,School Student,F6 Mosman Bay,199
Apr-21,Senior/Pensioner,F6 Mosman Bay,11240
Apr-21,Sgl Trip Ferry Adult,F6 Mosman Bay,693
Apr-21,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,577
Apr-21,Adult,F7 Double Bay,5187
Apr-21,CTP,F7 Double Bay,5904
Apr-21,Child/Youth,F7 Double Bay,788
Apr-21,Concession,F7 Double Bay,213
Apr-21,Employee,F7 Double Bay,33
Apr-21,Free Travel,F7 Double Bay,14
Apr-21,School Student,F7 Double Bay,10
Apr-21,Senior/Pensioner,F7 Double Bay,2850
Apr-21,Sgl Trip Ferry Adult,F7 Double Bay,205
Apr-21,Sgl Trip Ferry Child/Youth,F7 Double Bay,137
Apr-21,Adult,F8 Cockatoo Island,15856
Apr-21,CTP,F8 Cockatoo Island,10875
Apr-21,Child/Youth,F8 Cockatoo Island,4189
Apr-21,Concession,F8 Cockatoo Island,775
Apr-21,Employee,F8 Cockatoo Island,210
Apr-21,Free Travel,F8 Cockatoo Island,56
Apr-21,School Student,F8 Cockatoo Island,542
Apr-21,Senior/Pensioner,F8 Cockatoo Island,7923
Apr-21,Sgl Trip Ferry Adult,F8 Cockatoo Island,507
Apr-21,Sgl Trip Ferry Child/Youth,F8 Cockatoo Island,415
Apr-21,Adult,F9 Watsons Bay,37128
Apr-21,CTP,F9 Watsons Bay,33418
Apr-21,Child/Youth,F9 Watsons Bay,7966
Apr-21,Concession,F9 Watsons Bay,1736
Apr-21,Day Pass without SAF,F9 Watsons Bay,2
Apr-21,Employee,F9 Watsons Bay,393
Apr-21,Free Travel,F9 Watsons Bay,105
Apr-21,School Student,F9 Watsons Bay,298
Apr-21,Senior/Pensioner,F9 Watsons Bay,17684
Apr-21,Sgl Trip Ferry Adult,F9 Watsons Bay,1542
Apr-21,Sgl Trip Ferry Child/Youth,F9 Watsons Bay,1125
May-21,Adult,118F Newcastle,11180
May-21,CTP,118F Newcastle,11479
May-21,Child/Youth,118F Newcastle,1789
May-21,Concession,118F Newcastle,904
May-21,Employee,118F Newcastle,388
May-21,Free Travel,118F Newcastle,409
May-21,School Student,118F Newcastle,1030
May-21,Senior/Pensioner,118F Newcastle,9523
May-21,Adult,F1 Manly,49280
May-21,CTP,F1 Manly,34954
May-21,Child/Youth,F1 Manly,6049
May-21,Concession,F1 Manly,3503
May-21,Day Pass without SAF,F1 Manly,1
May-21,Employee,F1 Manly,1128
May-21,Free Travel,F1 Manly,390
May-21,School Student,F1 Manly,642
May-21,Senior/Pensioner,F1 Manly,37324
May-21,Sgl Trip Ferry Adult,F1 Manly,2331
May-21,Sgl Trip Ferry Child/Youth,F1 Manly,1057
May-21,Adult,F2 Taronga Zoo,21462
May-21,CTP,F2 Taronga Zoo,16226
May-21,Child/Youth,F2 Taronga Zoo,4684
May-21,Concession,F2 Taronga Zoo,1775
May-21,Day Pass Child/Youth w/o SAF,F2 Taronga Zoo,5
May-21,Employee,F2 Taronga Zoo,333
May-21,Free Travel,F2 Taronga Zoo,112
May-21,School Student,F2 Taronga Zoo,566
May-21,Senior/Pensioner,F2 Taronga Zoo,11548
May-21,Sgl Trip Ferry Adult,F2 Taronga Zoo,1480
May-21,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,792
May-21,Adult,F3 Parramatta River,55658
May-21,CTP,F3 Parramatta River,36061
May-21,Child/Youth,F3 Parramatta River,6107
May-21,Concession,F3 Parramatta River,2423
May-21,Day Pass Child/Youth w/o SAF,F3 Parramatta River,221
May-21,Day Pass without SAF,F3 Parramatta River,9
May-21,Employee,F3 Parramatta River,968
May-21,Free Travel,F3 Parramatta River,207
May-21,School Student,F3 Parramatta River,2666
May-21,Senior/Pensioner,F3 Parramatta River,26102
May-21,Sgl Trip Ferry Adult,F3 Parramatta River,1214
May-21,Sgl Trip Ferry Child/Youth,F3 Parramatta River,633
May-21,Adult,F4 Pyrmont Bay,36941
May-21,CTP,F4 Pyrmont Bay,32092
May-21,Child/Youth,F4 Pyrmont Bay,6372
May-21,Concession,F4 Pyrmont Bay,2071
May-21,Day Pass Child/Youth w/o SAF,F4 Pyrmont Bay,9
May-21,Employee,F4 Pyrmont Bay,853
May-21,Free Travel,F4 Pyrmont Bay,215
May-21,School Student,F4 Pyrmont Bay,1988
May-21,Senior/Pensioner,F4 Pyrmont Bay,21733
May-21,Sgl Trip Ferry Adult,F4 Pyrmont Bay,1935
May-21,Sgl Trip Ferry Child/Youth,F4 Pyrmont Bay,1078
May-21,Adult,F5 Neutral Bay,11376
May-21,CTP,F5 Neutral Bay,8414
May-21,Child/Youth,F5 Neutral Bay,594
May-21,Concession,F5 Neutral Bay,711
May-21,Day Pass Child/Youth w/o SAF,F5 Neutral Bay,1
May-21,Employee,F5 Neutral Bay,137
May-21,Free Travel,F5 Neutral Bay,48
May-21,School Student,F5 Neutral Bay,246
May-21,Senior/Pensioner,F5 Neutral Bay,7028
May-21,Sgl Trip Ferry Adult,F5 Neutral Bay,201
May-21,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,111
May-21,Adult,F6 Mosman Bay,17248
May-21,CTP,F6 Mosman Bay,11408
May-21,Child/Youth,F6 Mosman Bay,925
May-21,Concession,F6 Mosman Bay,1148
May-21,Day Pass Child/Youth w/o SAF,F6 Mosman Bay,2
May-21,Employee,F6 Mosman Bay,221
May-21,Free Travel,F6 Mosman Bay,89
May-21,School Student,F6 Mosman Bay,386
May-21,Senior/Pensioner,F6 Mosman Bay,9761
May-21,Sgl Trip Ferry Adult,F6 Mosman Bay,357
May-21,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,172
May-21,Adult,F7 Double Bay,4039
May-21,CTP,F7 Double Bay,5108
May-21,Child/Youth,F7 Double Bay,227
May-21,Concession,F7 Double Bay,148
May-21,Day Pass Child/Youth w/o SAF,F7 Double Bay,1
May-21,Employee,F7 Double Bay,38
May-21,Free Travel,F7 Double Bay,11
May-21,School Student,F7 Double Bay,26
May-21,Senior/Pensioner,F7 Double Bay,2487
May-21,Sgl Trip Ferry Adult,F7 Double Bay,92
May-21,Sgl Trip Ferry Child/Youth,F7 Double Bay,34
May-21,Adult,F8 Cockatoo Island,13189
May-21,CTP,F8 Cockatoo Island,9521
May-21,Child/Youth,F8 Cockatoo Island,2315
May-21,Concession,F8 Cockatoo Island,601
May-21,Day Pass Child/Youth w/o SAF,F8 Cockatoo Island,372
May-21,Day Pass without SAF,F8 Cockatoo Island,28
May-21,Employee,F8 Cockatoo Island,206
May-21,Free Travel,F8 Cockatoo Island,69
May-21,School Student,F8 Cockatoo Island,1013
May-21,Senior/Pensioner,F8 Cockatoo Island,7003
May-21,Sgl Trip Ferry Adult,F8 Cockatoo Island,258
May-21,Sgl Trip Ferry Child/Youth,F8 Cockatoo Island,125
May-21,Adult,F9 Watsons Bay,26240
May-21,CTP,F9 Watsons Bay,27612
May-21,Child/Youth,F9 Watsons Bay,2140
May-21,Concession,F9 Watsons Bay,1437
May-21,Day Pass Child/Youth w/o SAF,F9 Watsons Bay,1
May-21,Employee,F9 Watsons Bay,311
May-21,Free Travel,F9 Watsons Bay,98
May-21,School Student,F9 Watsons Bay,366
May-21,Senior/Pensioner,F9 Watsons Bay,14210
May-21,Sgl Trip Ferry Adult,F9 Watsons Bay,849
May-21,Sgl Trip Ferry Child/Youth,F9 Watsons Bay,320
Jun-21,Adult,118F Newcastle,9621
Jun-21,CTP,118F Newcastle,9696
Jun-21,Child/Youth,118F Newcastle,1919
Jun-21,Concession,118F Newcastle,584
Jun-21,Day Pass without SAF,118F Newcastle,1
Jun-21,Employee,118F Newcastle,289
Jun-21,Free Travel,118F Newcastle,303
Jun-21,School Student,118F Newcastle,768
Jun-21,Senior/Pensioner,118F Newcastle,8014
Jun-21,Adult,F1 Manly,34901
Jun-21,CTP,F1 Manly,23899
Jun-21,Child/Youth,F1 Manly,5092
Jun-21,Concession,F1 Manly,2357
Jun-21,Employee,F1 Manly,600
Jun-21,Free Travel,F1 Manly,346
Jun-21,School Student,F1 Manly,551
Jun-21,Senior/Pensioner,F1 Manly,26008
Jun-21,Sgl Trip Ferry Adult,F1 Manly,1328
Jun-21,Sgl Trip Ferry Child/Youth,F1 Manly,721
Jun-21,Adult,F2 Taronga Zoo,18420
Jun-21,CTP,F2 Taronga Zoo,12727
Jun-21,Child/Youth,F2 Taronga Zoo,4354
Jun-21,Concession,F2 Taronga Zoo,1357
Jun-21,Day Pass without SAF,F2 Taronga Zoo,2
Jun-21,Employee,F2 Taronga Zoo,213
Jun-21,Free Travel,F2 Taronga Zoo,96
Jun-21,School Student,F2 Taronga Zoo,506
Jun-21,Senior/Pensioner,F2 Taronga Zoo,8740
Jun-21,Sgl Trip Ferry Adult,F2 Taronga Zoo,1066
Jun-21,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,611
Jun-21,Adult,F3 Parramatta River,41682
Jun-21,CTP,F3 Parramatta River,26841
Jun-21,Child/Youth,F3 Parramatta River,5032
Jun-21,Concession,F3 Parramatta River,1794
Jun-21,Day Pass Child/Youth w/o SAF,F3 Parramatta River,152
Jun-21,Day Pass without SAF,F3 Parramatta River,1
Jun-21,Employee,F3 Parramatta River,512
Jun-21,Free Travel,F3 Parramatta River,162
Jun-21,School Student,F3 Parramatta River,1718
Jun-21,Senior/Pensioner,F3 Parramatta River,17541
Jun-21,Sgl Trip Ferry Adult,F3 Parramatta River,652
Jun-21,Sgl Trip Ferry Child/Youth,F3 Parramatta River,435
Jun-21,Adult,F4 Pyrmont Bay,27079
Jun-21,CTP,F4 Pyrmont Bay,22892
Jun-21,Child/Youth,F4 Pyrmont Bay,5250
Jun-21,Concession,F4 Pyrmont Bay,1480
Jun-21,Employee,F4 Pyrmont Bay,526
Jun-21,Free Travel,F4 Pyrmont Bay,137
Jun-21,School Student,F4 Pyrmont Bay,1212
Jun-21,Senior/Pensioner,F4 Pyrmont Bay,15125
Jun-21,Sgl Trip Ferry Adult,F4 Pyrmont Bay,1155
Jun-21,Sgl Trip Ferry Child/Youth,F4 Pyrmont Bay,741
Jun-21,Adult,F5 Neutral Bay,8635
Jun-21,CTP,F5 Neutral Bay,6329
Jun-21,Child/Youth,F5 Neutral Bay,465
Jun-21,Concession,F5 Neutral Bay,589
